album_name,track_number,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,explicit,key_name,mode_name,key_mode
Taylor Swift,1.0,Tim McGraw,0.58,0.491,0.0,-6.462,1.0,0.0251,0.575,0.0,0.121,0.425,76.009,4.0,232107.0,False,C,major,C major
Taylor Swift,2.0,Picture To Burn,0.658,0.877,7.0,-2.098,1.0,0.0323,0.173,0.0,0.0962,0.821,105.586,4.0,173067.0,False,G,major,G major
Taylor Swift,3.0,Teardrops On My Guitar,0.621,0.417,10.0,-6.941,1.0,0.0231,0.288,0.0,0.119,0.289,99.953,4.0,203040.0,False,A#,major,A# major
Taylor Swift,4.0,A Place In This World,0.576,0.777,9.0,-2.881,1.0,0.0324,0.051,0.0,0.32,0.428,115.028,4.0,199200.0,False,A,major,A major
Taylor Swift,5.0,Cold As You,0.418,0.482,5.0,-5.769,1.0,0.0266,0.217,0.0,0.123,0.261,175.558,4.0,239013.0,False,F,major,F major
Taylor Swift,6.0,The Outside,0.589,0.805,5.0,-4.055,1.0,0.0293,0.00491,0.0,0.24,0.591,112.982,4.0,207107.0,False,F,major,F major
Taylor Swift,7.0,Tied Together With A Smile,0.479,0.578,2.0,-4.963,1.0,0.0294,0.525,0.0,0.0841,0.192,146.165,4.0,248107.0,False,D,major,D major
Taylor Swift,8.0,Stay Beautiful,0.594,0.629,8.0,-4.919,1.0,0.0246,0.0868,0.0,0.137,0.504,131.597,4.0,236053.0,False,G#,major,G# major
Taylor Swift,9.0,Should've Said No,0.476,0.777,4.0,-3.771,0.0,0.0289,0.0103,0.0,0.196,0.472,167.964,4.0,242200.0,False,E,minor,E minor
Taylor Swift,11.0,Our Song,0.668,0.672,2.0,-4.931,1.0,0.0303,0.111,0.0,0.329,0.539,89.011,4.0,201107.0,False,D,major,D major
Taylor Swift,12.0,I'm Only Me When I'm With You,0.563,0.934,8.0,-3.629,1.0,0.0646,0.00452,0.000807,0.103,0.518,143.964,4.0,213053.0,False,G#,major,G# major
Taylor Swift,13.0,Invisible,0.612,0.394,7.0,-5.723,1.0,0.0243,0.637,0.0,0.147,0.233,96.001,4.0,203227.0,False,G,major,G major
Taylor Swift,14.0,A Perfectly Good Heart,0.483,0.751,4.0,-5.726,1.0,0.0365,0.00349,0.0,0.128,0.268,156.092,4.0,220147.0,False,E,major,E major
Taylor Swift,15.0,Teardrops On My Guitar (Pop Version),0.459,0.753,10.0,-3.827,1.0,0.0537,0.0402,0.0,0.0863,0.483,199.997,4.0,179067.0,False,A#,major,A# major
Fearless,1.0,Fearless,0.598,0.714,5.0,-4.397,1.0,0.0273,0.0364,1.04e-06,0.31,0.467,99.979,4.0,242000.0,False,F,major,F major
Fearless,2.0,Fifteen,0.559,0.636,7.0,-4.4,1.0,0.0263,0.0728,0.0,0.144,0.214,95.485,4.0,294347.0,False,G,major,G major
Fearless,3.0,Love Story,0.618,0.736,2.0,-3.937,1.0,0.0308,0.157,0.0,0.073,0.307,118.982,4.0,235280.0,False,D,major,D major
Fearless,4.0,Hey Stephen,0.843,0.553,6.0,-7.348,1.0,0.0317,0.168,2.66e-06,0.107,0.825,115.997,4.0,254320.0,False,F#,major,F# major
Fearless,5.0,White Horse,0.585,0.346,0.0,-8.014,1.0,0.0256,0.302,0.0,0.102,0.195,92.564,4.0,234440.0,False,C,major,C major
Fearless,6.0,You Belong With Me,0.687,0.771,6.0,-4.424,1.0,0.0384,0.164,2.46e-05,0.112,0.445,129.964,4.0,231147.0,False,F#,major,F# major
Fearless,7.0,Breathe,0.498,0.486,1.0,-7.384,1.0,0.0273,0.373,0.0,0.113,0.17,147.952,4.0,263987.0,False,C#,major,C# major
Fearless,8.0,Tell Me Why,0.601,0.852,7.0,-3.096,1.0,0.0386,0.0606,3.41e-06,0.37,0.513,100.015,4.0,200560.0,False,G,major,G major
Fearless,9.0,You're Not Sorry,0.459,0.459,6.0,-4.126,1.0,0.0275,0.13,2.3e-06,0.113,0.281,134.018,4.0,261800.0,False,F#,major,F# major
Fearless,10.0,The Way I Loved You,0.436,0.712,5.0,-3.689,1.0,0.0329,0.0322,0.0,0.111,0.379,160.886,4.0,244240.0,False,F,major,F major
Fearless,11.0,Forever & Always,0.605,0.829,10.0,-4.993,1.0,0.0549,0.0907,0.0,0.106,0.514,128.012,4.0,225333.0,False,A#,major,A# major
Fearless,12.0,The Best Day,0.664,0.447,1.0,-8.535,1.0,0.0292,0.611,1e-06,0.139,0.364,126.079,4.0,245347.0,False,C#,major,C# major
Fearless,13.0,Change,0.548,0.756,5.0,-4.175,1.0,0.036,0.00471,0.0,0.117,0.224,96.038,4.0,281053.0,False,F,major,F major
Fearless,14.0,Jump Then Fall,0.618,0.687,2.0,-5.737,1.0,0.0271,0.111,0.0,0.0693,0.82,79.991,4.0,237067.0,False,D,major,D major
Fearless,15.0,Untouchable,0.419,0.454,5.0,-6.809,1.0,0.0335,0.0583,3.78e-06,0.0974,0.288,200.017,4.0,311040.0,False,F,major,F major
Fearless,16.0,Forever & Always (Piano Version),0.592,0.16,9.0,-10.785,1.0,0.0347,0.852,0.0,0.116,0.294,118.929,4.0,267507.0,False,A,major,A major
Fearless,17.0,Come In With The Rain,0.527,0.475,2.0,-6.205,1.0,0.0258,0.0868,4.34e-06,0.248,0.224,143.962,4.0,238107.0,False,D,major,D major
Fearless,18.0,SuperStar,0.61,0.531,2.0,-6.123,1.0,0.0239,0.367,0.0,0.351,0.228,85.979,4.0,261453.0,False,D,major,D major
Fearless,19.0,The Other Side Of The Door,0.476,0.816,4.0,-4.279,1.0,0.0347,0.169,0.0,0.238,0.469,163.847,4.0,237600.0,False,E,major,E major
Fearless (Taylor's Version),1.0,Fearless (Taylor's Version),0.569,0.741,5.0,-4.963,1.0,0.0282,0.0122,0.0,0.333,0.43,100.118,4.0,241592.0,False,F,major,F major
Fearless (Taylor's Version),2.0,Fifteen (Taylor's Version),0.559,0.646,7.0,-4.61,1.0,0.0272,0.116,0.0,0.32,0.289,95.466,4.0,294419.0,False,G,major,G major
Fearless (Taylor's Version),3.0,Love Story (Taylor's Version),0.627,0.792,2.0,-4.311,1.0,0.031,0.13,3.97e-06,0.0845,0.415,119.054,4.0,235767.0,False,D,major,D major
Fearless (Taylor's Version),4.0,Hey Stephen (Taylor's Version),0.788,0.571,6.0,-6.135,1.0,0.0296,0.106,0.0,0.0934,0.797,115.99,4.0,254255.0,False,F#,major,F# major
Fearless (Taylor's Version),5.0,White Horse (Taylor's Version),0.423,0.517,0.0,-7.377,1.0,0.0486,0.369,0.0,0.177,0.366,185.262,4.0,234516.0,False,C,major,C major
Fearless (Taylor's Version),6.0,You Belong With Me (Taylor's Version),0.632,0.773,6.0,-4.856,1.0,0.0346,0.0623,0.0,0.0885,0.474,130.033,4.0,231124.0,False,F#,major,F# major
Fearless (Taylor's Version),7.0,Breathe (Taylor's Version),0.506,0.626,1.0,-6.066,1.0,0.0287,0.156,0.0,0.228,0.321,148.035,4.0,263377.0,False,C#,major,C# major
Fearless (Taylor's Version),8.0,Tell Me Why (Taylor's Version),0.578,0.909,7.0,-3.669,1.0,0.0628,0.0222,0.0,0.333,0.541,100.023,4.0,200576.0,False,G,major,G major
Fearless (Taylor's Version),9.0,You're Not Sorry (Taylor's Version),0.506,0.444,6.0,-4.99,1.0,0.0285,0.0538,0.0,0.123,0.241,133.873,4.0,261843.0,False,F#,major,F# major
Fearless (Taylor's Version),10.0,The Way I Loved You (Taylor's Version),0.402,0.732,5.0,-4.665,1.0,0.0484,0.0033,0.0,0.108,0.472,161.032,4.0,243137.0,False,F,major,F major
Fearless (Taylor's Version),11.0,Forever & Always (Taylor's Version),0.598,0.821,10.0,-4.433,1.0,0.0447,0.0231,0.0,0.143,0.673,128.03,4.0,225328.0,False,A#,major,A# major
Fearless (Taylor's Version),12.0,The Best Day (Taylor's Version),0.642,0.576,1.0,-8.524,1.0,0.0282,0.488,0.0,0.159,0.469,125.0,4.0,245290.0,False,C#,major,C# major
Fearless (Taylor's Version),13.0,Change (Taylor's Version),0.499,0.815,5.0,-4.063,1.0,0.0341,0.000191,0.0,0.181,0.344,95.999,4.0,279360.0,False,F,major,F major
Fearless (Taylor's Version),14.0,Jump Then Fall (Taylor's Version),0.572,0.69,2.0,-6.201,1.0,0.0358,0.0474,0.0,0.0897,0.624,160.111,4.0,237580.0,False,D,major,D major
Fearless (Taylor's Version),15.0,Untouchable (Taylor's Version),0.393,0.531,5.0,-6.112,1.0,0.0329,0.0181,0.0,0.169,0.224,200.391,4.0,312107.0,False,F,major,F major
Fearless (Taylor's Version),17.0,Come In With The Rain (Taylor's Version),0.476,0.564,2.0,-5.677,1.0,0.0269,0.0406,0.0,0.102,0.167,143.929,4.0,237339.0,False,D,major,D major
Fearless (Taylor's Version),18.0,SuperStar (Taylor's Version),0.454,0.555,2.0,-6.69,1.0,0.0283,0.157,0.0,0.343,0.171,171.862,4.0,263865.0,False,D,major,D major
Fearless (Taylor's Version),19.0,The Other Side Of The Door (Taylor's Version),0.432,0.873,4.0,-4.367,1.0,0.0577,0.0279,0.0,0.167,0.629,163.936,4.0,238444.0,False,E,major,E major
Speak Now,1.0,Mine,0.624,0.757,7.0,-2.94,1.0,0.0296,0.00265,1.87e-06,0.189,0.658,121.07,4.0,230707.0,False,G,major,G major
Speak Now,2.0,Sparks Fly,0.605,0.787,5.0,-3.002,1.0,0.0308,0.0396,1.42e-06,0.163,0.374,114.987,4.0,260933.0,False,F,major,F major
Speak Now,3.0,Back To December,0.529,0.67,2.0,-4.663,1.0,0.0303,0.117,0.0,0.334,0.286,141.893,4.0,293027.0,False,D,major,D major
Speak Now,4.0,Speak Now,0.709,0.599,7.0,-3.734,1.0,0.0304,0.095,0.0,0.0973,0.735,118.975,4.0,240760.0,False,G,major,G major
Speak Now,5.0,Dear John,0.589,0.47,4.0,-5.32,1.0,0.028,0.166,1.45e-06,0.112,0.102,119.386,3.0,403920.0,False,E,major,E major
