album_name,ep,album_release,track_number,track_name,artist,track_release,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,explicit,key_name,mode_name,key_mode,lyric
Taylor Swift,False,2006-10-24,1.0,Tim McGraw,Taylor Swift,2006-06-19,0.58,0.491,0.0,-6.462,1.0,0.0251,0.575,0.0,0.121,0.425,76.009,4.0,232107.0,False,C,major,C major,"[Verse 1] He said the way my blue eyes shined Put those Georgia stars to shame that night I said, ""That's a lie"" Just a boy in a Chevy truck That had a tendency of gettin' stuck On backroads at night And I was right there beside him all summer long And then the time we woke up to find that summer gone [Chorus] But when you think Tim McGraw I hope you think my favorite song The one we danced to all night long The moon like a spotlight on the lake When you think happiness I hope you think that little black dress Think of my head on your chest And my old faded blue jeans When you think Tim McGraw I hope you think of me [Verse 2] September saw a month of tears And thankin' God that you weren't here To see me like that But in a box beneath my bed Is a letter that you never read From three summers back It's hard not to find it all a little bittersweet And lookin' back on all of that, it's nice to believe [Chorus] When you think Tim McGraw I hope you think my favorite song The one we danced to all night long The moon like a spotlight on the lake When you think happiness I hope you think that little black dress Think of my head on your chest And my old faded blue jeans When you think Tim McGraw I hope you think of me [Bridge] And I'm back for the first time since then I'm standin' on your street And there's a letter left on your doorstep And the first thing that you'll read is: ""When you think Tim McGraw I hope you think my favorite song Someday you'll turn your radio on I hope it takes you back to that place"" [Chorus] When you think happiness I hope you think that little black dress Think of my head on your chest And my old faded blue jeans When you think Tim McGraw I hope you think of me Oh, think of me Mmmm [Outro] He said the way my blue eyes shine Put those Georgia stars to shame that night I said, ""That's a lie"""
Taylor Swift,False,2006-10-24,2.0,Picture To Burn,Taylor Swift,2006-10-24,0.658,0.877,7.0,-2.098,1.0,0.0323,0.173,0.0,0.0962,0.821,105.586,4.0,173067.0,False,G,major,G major,"[Verse 1] State the obvious, I didn't get my perfect fantasy I realize you love yourself more than you could ever love me So go and tell your friends that I'm obsessive and crazy That's fine, you won't mind if I say By the way [Chorus] I hate that stupid old pickup truck you never let me drive You're a redneck heartbreak who's really bad at lying So watch me strike a match on all my wasted time As far as I'm concerned, you're just another picture to burn [Verse 2] There's no time for tears I'm just sitting here planning my revenge There's nothing stopping me From going out with all of your best friends And if you come around saying sorry to me My daddy's gonna show you how sorry you'll be [Chorus] 'Cause I hate that stupid old pickup truck you never let me drive You're a redneck heartbreak who's really bad at lying So watch me strike a match on all my wasted time As far as I'm concerned, you're just another picture to burn [Bridge] And if you're missing me, you'd better keep it to yourself 'Cause coming back around here would be bad for your health [Chorus] 'Cause I hate that stupid old pickup truck you never let me drive You're a redneck heartbreak who's really bad at lying So watch me strike a match on all my wasted time In case you haven't heard I really really hate that Stupid old pickup truck you never let me drive You're a redneck heartbreak, who's really bad at lying So watch me strike a match on all my wasted time As far as I'm concerned, you're just another picture to burn [Outro] Burn, burn, burn, baby, burn You're just another picture to burn Baby, burn"
Taylor Swift,False,2006-10-24,3.0,Teardrops On My Guitar,Taylor Swift,2006-10-24,0.621,0.417,10.0,-6.941,1.0,0.0231,0.288,0.0,0.119,0.289,99.953,4.0,203040.0,False,A#,major,A# major,"[Verse 1] Drew looks at me I fake a smile so he won't see That I want and I'm needing Everything that we should be [Pre-Chorus 1] I'll bet she's beautiful, that girl he talks about And she's got everything that I have to live without [Verse 2] Drew talks to me I laugh 'cause it's so damn funny That I can't even see Anyone when he's with me [Pre-Chorus 2] He says he's so in love, he's finally got it right I wonder if he knows he's all I think about at night [Chorus] He's the reason for the teardrops on my guitar The only thing that keeps me wishing on a wishing star He's the song in the car I keep singing, don't know why I do... [Verse 3] Drew walks by me Can't he tell that I can't breathe? And there he goes, so perfectly The kind of flawless I wish I could be [Pre-Chorus 3] She'd better hold him tight, give him all her love Look in those beautiful eyes and know she's lucky 'cause [Chorus] He's the reason for the teardrops on my guitar The only thing that keeps me wishing on a wishing star He's the song in the car I keep singing, don't know why I do... [Bridge] So I drive home alone, as I turn off the light I'll put his picture down and maybe get some sleep tonight [Chorus] 'Cause he's the reason for the teardrops on my guitar The only one who’s got enough of me to break my heart He's the song in the car I keep singing, don't know why I do... [Outro] He's the time taken up, but there's never enough And he's all that I need to fall into Drew looks at me I fake a smile so he won't see"
Taylor Swift,False,2006-10-24,4.0,A Place In This World,Taylor Swift,2006-10-24,0.576,0.777,9.0,-2.881,1.0,0.0324,0.051,0.0,0.32,0.428,115.028,4.0,199200.0,False,A,major,A major,"[Spoken Intro] So, we're gonna have the band take a little tiny break and I'm gonna play you a song that, uh, I wrote this when I was like thirteen years old and just moved to Nashville, and I knew that I wanted to end up making music and on a record label, but I didn't know how I was going to get there. And I wrote this song about it [Verse 1] I don't know what I want, so don't ask me Cause I'm still trying to figure it out Don't know what's down this road, I'm just walking Trying to see through the rain coming down Even though I'm not the only one Who feels the way I do [Chorus] I'm alone, on my own, and that's all I know I'll be strong, I'll be wrong, oh but life goes on Oh, I'm just a girl, trying to find a place in this world [Verse 2] Got the radio on, my old blue jeans And I'm wearing my heart on my sleeve I'm feeling lucky today, got the sunshine Could you tell me what more do I need And tomorrow's just a mystery, oh yeah But that's OK [Chorus] I'm alone, on my own, and that's all I know I'll be strong, I'll be wrong, oh but life goes on Oh, I'm just a girl, trying to find a place in this world [Guitar Solo] [Chorus] I'm alone, on my own, and that's all I know I'll be strong, I'll be wrong, oh but life goes on Oh I'm alone, on my own, and that's all I know 'Cause I'm just a girl, trying to find a place in this world"
Taylor Swift,False,2006-10-24,5.0,Cold As You,Taylor Swift,2006-10-24,0.418,0.482,5.0,-5.769,1.0,0.0266,0.217,0.0,0.123,0.261,175.558,4.0,239013.0,False,F,major,F major,"[Verse 1] You have a way of coming easily to me And when you take, you take the very best of me So I start a fight cause I need to feel something And you do what you want cause I'm not what you wanted [Chorus] Oh what a shame, what a rainy ending given to a perfect day Just walk away, no use defending words that you will never say And now that I'm sitting here thinking it through I've never been anywhere cold as you [Verse 2] You put up walls and paint them all a shade of gray And I stood there loving you and wished them all away And you come away with a great little story Of a mess of a dreamer with the nerve to adore you [Chorus] Oh what a shame, what a rainy ending given to a perfect day Just walk away, no use defending words that you will never say And now that I'm sitting here thinking it through I've never been anywhere cold as you [Bridge] You never did give a damn thing honey but I cried, cried for you And I know you wouldn't have told nobody if I died, died for you (Died for you) [Chorus] Oh what a shame, what a rainy ending given to a perfect day Every smile you fake is so condescending Counting all the scars you made And now that I'm sitting here thinking it through I've never been anywhere cold as you"
Taylor Swift,False,2006-10-24,6.0,The Outside,Taylor Swift,2006-10-24,0.589,0.805,5.0,-4.055,1.0,0.0293,0.00491,0.0,0.24,0.591,112.982,4.0,207107.0,False,F,major,F major,"[Verse 1] I didn't know what I would find When I went looking for a reason, I know I didn't read between the lines And, baby, I've got nowhere to go I tried to take the road less traveled by But nothing seems to work the first few times Am I right? [Chorus] So how can I ever try to be better? Nobody ever lets me in I can still see you, this ain't the best view On the outside looking in I've been a lot of lonely places I've never been on the outside [Verse 2] You saw me there, but never knew I would give it all up to be A part of this, a part of you And now it's all too late so you see You could've helped if you had wanted to But no one notices until it's too Late to do anything [Chorus] So how can I ever try to be better? Nobody ever lets me in I can still see you, this ain't the best view On the outside looking in I've been a lot of lonely places I've never been on the outside So how can I ever try to be better? Nobody ever lets me in I can still see you, this ain't the best view On the outside looking in I've been a lot of lonely places I've never been on the outside"
Taylor Swift,False,2006-10-24,7.0,Tied Together With A Smile,Taylor Swift,2006-10-24,0.479,0.578,2.0,-4.963,1.0,0.0294,0.525,0.0,0.0841,0.192,146.165,4.0,248107.0,False,D,major,D major,"[Verse 1] Seems the only one who doesn't see your beauty Is the face in the mirror looking back at you You walk around here thinking you're not pretty But that's not true, 'cause I know you [Chorus] Hold on Baby, you're losing it The water's high You're jumping into it And letting go And no one knows That you cry But you don't tell anyone That you might Not be the golden one And you're tied together with a smile But you're coming undone [Verse 2] I guess it's true that love was all you wanted 'Cause you're giving it away like it's extra change Hoping it will end up in his pocket But he leaves you out like a penny in the rain Oh, 'cause it's not his price to pay It's not his price to pay [Chorus] Hold on Baby, you're losing it The water's high You're jumping into it And letting go And no one knows That you cry But you don't tell anyone That you might Not be the golden one And you're tied together with a smile But you're coming undone Hold on Baby, you're losing it The water's high You're jumping into it And letting go And no one knows That you cry But you don't tell anyone That you might Not be the golden one And you're tied together with a smile But you're coming undone [Outro] You're tied together with a smile But you're coming undone oh Goodbye, baby With a smile, baby, baby"
Taylor Swift,False,2006-10-24,8.0,Stay Beautiful,Taylor Swift,2006-10-24,0.594,0.629,8.0,-4.919,1.0,0.0246,0.0868,0.0,0.137,0.504,131.597,4.0,236053.0,False,G#,major,G# major,"[Verse 1] Corey's eyes are like a jungle He smiles, it's like the radio He whispers songs into my window in words that nobody knows These pretty girls on every corner They watch him as he's walking home, saying, ""Does he know?"" Will you ever know? [Chorus] You're beautiful Every little piece, love And don't you know You're really gonna be someone Ask anyone And when you find everything you looked for I hope your life will lead you back to my door Oh, but if it don't Stay beautiful [Verse 2] Corey finds another way to be the highlight of my day I'm taking pictures in my mind so I can save them for a rainy day It's hard to make a conversation when he's taking my breath away I should say Hey, by the way [Chorus] You're beautiful Every little piece, love And don't you know You're really gonna be someone Ask anyone And when you find everything you looked for I hope your life will lead you back to my door Oh, but if it don't Stay beautiful [Bridge] If you and I are a story That never gets told If what you are is a daydream I'll never get to hold At least you'll know [Chorus] You're beautiful Every little piece, love And don't you know You're really gonna be someone Ask anyone And when you find everything you looked for I hope your life will lead you back to my front door Oh, but if it don't Will you stay Beautiful, beautiful, beautiful? Beautiful, beautiful, beautiful? [Outro] La la la Oh, oh, oh, oh Oh, but if it don't Stay beautiful Stay beautiful Na, na, na, na, na"
Taylor Swift,False,2006-10-24,9.0,Should've Said No,Taylor Swift,2006-10-24,0.476,0.777,4.0,-3.771,0.0,0.0289,0.0103,0.0,0.196,0.472,167.964,4.0,242200.0,False,E,minor,E minor,"[Verse 1] It's strange to think The songs we used to sing The smiles, the flowers, everything is gone Yesterday I found out about you Even now just looking at you feels wrong [Pre-Chorus] You say that you'd take it all back, given one chance It was a moment of weakness and you said ""yes"" [Chorus] You should've said no, you should've gone home You should've thought twice 'fore you let it all go You should have known the word 'bout what you did with her'd get back to me And I should've been there in the back of your mind I shouldn't be asking myself why You shouldn't be begging for forgiveness at my feet You should've said no, baby, and you might still have me [Verse 2] You can see that I've been crying Baby, you know all the right things to say But do you honestly expect me to believe We could ever be the same? [Pre-Chorus] You say that the past is the past, you need one chance It was a moment of weakness and you said yes [Chorus] You should've said no, you should've gone home You should've thought twice 'fore you let it all go You should've known the word 'bout what you did with her'd get back to me And I should've been there in the back of your mind I shouldn't be asking myself why You shouldn't be begging for forgiveness at my feet You should've said no baby and you might still have me [Bridge] I can't resist Before you go tell me this Was it worth this? Was she worth this? No, no, no, no, no, no [Chorus] You should've said no, you should've gone home You should've thought twice 'fore you let it all go You should've known the word 'bout what you did with her'd get back to me And I should've been there in the back of your mind I shouldn't be asking myself why You shouldn't be begging for forgiveness at my feet You should've said no baby and you might still have me"
Taylor Swift,False,2006-10-24,11.0,Our Song,Taylor Swift,2006-10-24,0.668,0.672,2.0,-4.931,1.0,0.0303,0.111,0.0,0.329,0.539,89.011,4.0,201107.0,False,D,major,D major,"[Verse 1] I was riding shotgun with my hair undone In the front seat of his car He's got a one-hand feel on the steering wheel The other on my heart I look around, turn the radio down He says, ""Baby, is something wrong?"" I say, ""Nothing, I was just thinking How we don't have a song"" And he says [Chorus] Our song is the slamming screen door Sneakin' out late, tapping on your window When we're on the phone and you talk real slow 'Cause it's late and your mama don't know Our song is the way you laugh The first date: ""Man, I didn't kiss her, and I should have"" And when I got home 'fore I said amen Asking God if he could play it again [Verse 2] I was walking up the front porch steps After everything that day Had gone all wrong and been trampled on And lost and thrown away Got to the hallway, well on my way To my lovin' bed I almost didn't notice all the roses And the note that said [Chorus] Our song is the slamming screen door Sneakin' out late, tapping on your window When we're on the phone and you talk real slow 'Cause it's late and your mama don't know Our song is the way you laugh The first date: ""Man, I didn't kiss her, and I should have"" And when I got home 'fore I said amen Asking God if he could play it again [Bridge] I've heard every album, listened to the radio Waited for something to come along That was as good as our song [Chorus] 'Cause our song is the slamming screen door Sneakin' out late, tapping on his window When we're on the phone and he talks real slow 'Cause it's late and his mama don't know Our song is the way he laughs The first date: ""Man, I didn't kiss him, and I should have"" And when I got home 'fore I said amen Asking God if he could play it again Play it again [Outro] I was riding shotgun with my hair undone In the front seat of his car I grabbed a pen and an old napkin And I wrote down our song"
