,album,song_title,lyric
0,1989 (Deluxe),1989 [Liner Notes] ,"Prologue""These songs were once about my life. They are now about yours."" I was born in Reading, Pennsylvania on December 13, 1989. In the world we live in, much is said about when we are born and when we die. Our birthday is celebrated every year to commemorate the very instant we came into the world. And a funeral is held to mark the day we leave it. But lately I've been wondering... what can be said of all the moments in between our birth and our death? The moments when we are reborn... The debate over whether people change is an interesting one for me to observe because it seems like all I ever do is change. All I ever do is learn from my mistakes so I don't make the same ones again. Then I make new ones. I know people can change because it happens to me little by little every day. Every day I wake up as someone slightly new. Isn't it wild and intriguing and beautiful to think that every day we are new? For the last few years, I've woken up every day not wanting, but needing to write a new style of music. I needed to change the way I told my stories and the way they sounded. I listened to a lot of music from the decade in which I was born and I listened to my intuition that it was a good thing to follow this gut feeling. I was also writing a different storyline than I'd ever told you before. I wrote about moving to the loudest and brightest city in the world, the city I had always been overwhelmed by... until now. I think you have to know who you are and what you want in order to take on New York and all its blaring truth. I wrote about the thrill I got when I finally learned that love, to some extent, is just a game of cat and mouse. I wrote about looking back on a lost love and understanding that nothing good comes without loss and hardship and constant struggle. There is no ""riding off into the sunset,"" like I used to imagine. We are never out of the woods, because we are always going to be fighting for something. I wrote about love that comes back to you just when you thought it was lost forever, and how some feelings never go out of style. I wrote about an important lesson I learned recently... that people can say whatever they want about me, but they can't make me lose my mind. I've learned how to shake things off. I've told you my stories for years now. Some have been about coming of age. Some have been about coming undone. This is a story about coming into your own, and as a result... coming alive. I hope you know that you've given me the courage to change. I hope you know that who you are is who you choose to be, and that whispers behind your back don't define you. You are the only person who gets to decide what you will be remembered for. From the girl who said she would never cut her hair or move to New York or find happiness in a world where she is not in love... Love, Taylor 1. Welcome To New York Hidden Message: We begin our story in New York 2. Blank Space Hidden Message: There once was a girl known by everyone and no one 3. Style Hidden Message: Her heart belonged to someone who couldn’t stay 4. Out of the Woods Hidden Message: They loved each other recklessly 5. All You Had to Do Was Stay Hidden Message: They paid the price 6. Shake It Off Hidden Message: She danced to forget him 7. I Wish You Would Hidden Message: He drove past her street each night 8. Bad Blood Hidden Message: She made friends and enemies 9. Wildest Dreams Hidden Message: He only saw her in his dreams 10. How You Get the Girl Hidden Message: Then one day he came back 11. This Love Hidden Message: Timing is a funny thing 12. I Know Places Hidden Message: And everyone was watching 13. Clean Hidden Message: She lost him but she found herself and somehow that was everything DELUXE 14. Wonderland 15. You Are In Love 16. New Romantics 17. I Know Places"" (Piano/Vocal) (Voice Memo) 18. I Wish You Would (Track/Vocal) (Voice Memo) 19. Blank Space (Guitar/Vocal) (Voice Memo)"
1,1989 (Deluxe),All You Had to Do Was Stay ,"[Verse 1] People like you always want back The love they gave away And people like me wanna believe you When you say you've changed The more I think about it now The less I know All I know is that you drove us Off the road [Chorus] (Stay!) Hey All you had to do was stay Had me in the palm of your hand Then, why'd you have to go and lock me out when I let you in? (Stay!) Hey Now, you say you want it back Now that it's just too late Well, could've been easy All you had to do was (Stay!) All you had to do was (Stay!) All you had to do was (Stay!) All you had to do was (Stay!) All you had to do was stay [Verse 2] Here you are now, calling me up But I don't know what to say I've been picking up the pieces Of the mess you made People like you always want back The love they pushed aside But people like me are gone forever When you say goodbye [Chorus] (Stay!) Hey All you had to do was stay Had me in the palm of your hand Then, why'd you have to go and lock me out when I let you in? (Stay!) Hey Now, you say you want it back Now that it's just too late Well, could've been easy All you had to do was (Stay!) All you had to do was (Stay!) All you had to do was (stay!) All you had to do was (Stay! stay! stay! stay! stay!) [Bridge] Let me remind you This was what you wanted (Oh, oh, oh-oh-oh) You ended it You were all I wanted (Oh, oh, oh-oh-oh) But not like this Not like this Not like this Oh, all you had to do was [Chorus] (Stay!) Hey All you had to do was stay Had me in the palm of your hand Then, why'd you want to go and lock me out when I let you in? (Stay!) Hey Now, you say you want it back Now that it's just too late Well, could've been easy All you had to do was (Stay!) Hey All you had to do was stay Had me in the palm of your hand Then, why'd you have to go and lock me out when I let you in? (Stay!) Hey Now, you say you want it back Now that it's just too late (All you had to do was stay) Well, could've been easy All you had to do was (Stay!) All you had to do was (Stay!) (Oh) All you had to do was (Stay!) All you had to do was (Stay!) (Ooh) All you had to do was (Stay!)"
2,1989 (Deluxe),Bad Blood ,"[Chorus] ’Cause baby, now we've got bad blood You know it used to be mad love So take a look what you've done ’Cause baby, now we've got bad blood, hey! Now we've got problems And I don't think we can solve 'em You made a really deep cut And baby, now we've got bad blood, hey! [Verse 1] Did you have to do this? I was thinking that you could be trusted Did you have to ruin what was shiny? Now it's all rusted Did you have to hit me where I'm weak? Baby, I couldn't breathe And rub it in so deep Salt in the wound like you're laughing right at me [Pre-Chorus] Oh, it's so sad to Think about the good times You and I [Chorus] ’Cause baby, now we've got bad blood You know it used to be mad love So take a look what you've done ’Cause baby, now we've got bad blood, hey! Now we've got problems And I don't think we can solve 'em You made a really deep cut And baby, now we've got bad blood, hey! [Verse 2] Did you think we'd be fine? Still got scars in my back from your knives So don't think it's in the past These kinds of wounds they last and they last Now, did you think it all through? All these things will catch up to you And time can heal, but this won't So if you're coming my way Just don't [Pre-Chorus] Oh, it's so sad to Think about the good times You and I [Chorus] ’Cause baby, now we've got bad blood You know it used to be mad love So take a look what you've done ’Cause baby, now we've got bad blood, hey! Now we've got problems And I don't think we can solve 'em You made a really deep cut And baby, now we've got bad blood, hey! [Bridge] Band-aids don't fix bullet holes You say sorry just for show If you live like that, you live with ghosts Band-aids don't fix bullet holes You say sorry just for show If you live like that, you live with ghosts If you love like that, blood runs cold! [Chorus] ’Cause baby, now we've got bad blood You know it used to be mad love So take a look what you've done ’Cause baby, now we've got bad blood, hey! Now we've got problems And I don't think we can solve 'em (Think we can solve 'em) You made a really deep cut And baby, now we've got bad blood, hey! [Chorus] ’Cause baby, now we've got bad blood You know it used to be mad love So take a look what you've done (Look what you've done) ’Cause baby, now we've got bad blood, hey! Now we've got problems And I don't think we can solve 'em You made a really deep cut And baby, now we've got bad blood, hey!"
3,1989 (Deluxe),Blank Space ,"[Verse 1] Nice to meet you, where you been? I could show you incredible things Magic, madness, heaven, sin Saw you there, and I thought ""Oh my God, look at that face You look like my next mistake Love's a game, wanna play?"" Ayy [Verse 2] New money, suit and tie I can read you like a magazine Ain't it funny? Rumors fly And I know you heard about me So hey, let's be friends I'm dyin' to see how this one ends Grab your passport and my hand I can make the bad guys good for a weekend [Chorus] So it's gonna be forever Or it's gonna go down in flames You can tell me when it's over, mm If the high was worth the pain Got a long list of ex-lovers They'll tell you I'm insane 'Cause you know I love the players And you love the game 'Cause we're young and we're reckless We'll take this way too far It'll leave you breathless, hmm Or with a nasty scar Got a long list of ex-lovers They'll tell you I'm insane But I've got a blank space, baby And I'll write your name [Verse 3] Cherry lips, crystal skies I could show you incredible things Stolen kisses, pretty lies You're the King, baby, I'm your Queen Find out what you want Be that girl for a month Wait, the worst is yet to come Oh, no [Verse 4] Screaming, crying, perfect storms I can make all the tables turn Rose garden filled with thorns Keep you second guessin' like ""Oh my God, who is she?"" I get drunk on jealousy But you'll come back each time you leave 'Cause, darling, I'm a nightmare dressed like a daydream [Chorus] So it's gonna be forever Or it's gonna go down in flames You can tell me when it's over, mm If the high was worth the pain Got a long list of ex-lovers They'll tell you I'm insane 'Cause you know I love the players And you love the game 'Cause we're young and we're reckless We'll take this way too far It'll leave you breathless, hmm Or with a nasty scar Got a long list of ex-lovers They'll tell you I'm insane But I've got a blank space, baby And I'll write your name [Bridge] Boys only want love if it's torture Don't say I didn't, say I didn't warn ya Boys only want love if it's torture Don't say I didn't, say I didn't warn ya [Chorus] So it's gonna be forever Or it's gonna go down in flames You can tell me when it's over, mm If the high was worth the pain Got a long list of ex-lovers They'll tell you I'm insane 'Cause you know I love the players And you love the game 'Cause we're young and we're reckless We'll take this way too far It'll leave you breathless, hmm Or with a nasty scar Got a long list of ex-lovers They'll tell you I'm insane But I've got a blank space, baby And I'll write your name"
4,1989 (Deluxe),Clean ,"[Verse 1] The drought was the very worst (Oh-oh, oh-oh) When the flowers that we'd grown together died of thirst It was months and months of back and forth (Oh-oh, oh-oh) You're still all over me Like a wine-stained dress I can't wear anymore [Pre-Chorus 1] Hung my head as I lost the war And the sky turned black like a perfect storm [Chorus] Rain came pouring down When I was drowning, that's when I could finally breathe And by morning Gone was any trace of you, I think I am finally clean (Oh, oh, oh, oh) [Verse 2] There was nothing left to do (Oh-oh, oh-oh) When the butterflies turned to Dust that covered my whole room So I punched a hole in the roof (Oh-oh, oh-oh) Let the flood carry away all my pictures of you [Pre-Chorus 2] The water filled my lungs, I screamed so loud But no one heard a thing [Chorus] Rain came pouring down When I was drowning, that's when I could finally breathe And by morning Gone was any trace of you, I think I am finally clean (Oh, oh, oh, oh) I think I am finally clean (Oh, oh) Oh, oh, oh, oh, oh-oh Said, I think I am finally clean (Oh, oh) Oh, oh, oh, oh, oh-oh [Bridge] Ten months sober, I must admit Just because you're clean, don't mean you don't miss it Ten months older, I won't give in Now that I'm clean, I'm never gonna risk it [Breakdown] The drought was the very worst (Oh-oh, oh-oh) When the flowers that we'd grown together died of thirst (Oh) [Chorus] The rain came pouring down When I was drowning, that's when I could finally breathe And by morning Gone was any trace of you, I think I am finally clean Rain came pouring down When I was drowning, that's when I could finally breathe And by morning Gone was any trace of you, I think I am finally clean [Outro] (Oh, oh) Finally clean Think I'm finally clean (Oh, oh) Oh-oh, oh-oh (Oh, oh, oh) Think I'm finally clean"
5,1989 (Deluxe),How You Get the Girl ,"[Intro] Oh, oh, oh Oh, oh, oh Oh-oh, oh-oh [Verse 1] Stand there like a ghost Shaking from the rain, rain She'll open up the door and say, ""Are you insane?"" Say it's been a long six months And you were too afraid to tell her what you want, want [Pre-Chorus 1] And that's how it works That's how you get the girl And then, you say [Chorus] I want you for worse or for better I would wait forever and ever Broke your heart, I'll put it back together I would wait forever and ever And that's how it works That's how you get the girl, girl (Oh-oh, oh) And that's how it works That's how you get the girl, girl [Verse 2] Remind her how it used to be, be, yeah-yeah With pictures in frames of kisses on cheeks, cheeks Tell her how you must have lost your mind, ooh-ooh When you left her all alone And never told her why, why [Pre-Chorus 2] And that's how it works That's how you lost the girl And now, you say [Chorus] I want you for worse or for better I would wait forever and ever (Ever and ever) Broke your heart, I'll put it back together I would wait forever and ever And that's how it works That's how you get the girl, girl (Oh-oh, oh-oh) And that's how it works That's how you get the girl, girl Yeah, yeah [Bridge] And you know Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh That I don't want you to go, oh, oh [Breakdown] Remind me how it used to be Pictures in frames of kisses on cheeks And say you want me, yeah-yeah And then you say [Chorus] 'Cause I want you for worse or for better (Worse or for better) I would wait forever and ever (Ever and ever) Broke your heart, I'll put it back together I would wait forever and ever (I want you forever and ever) And that's how it works That's how you get the girl, girl (This is how it works) And that's how it works That's how you get the girl, girl (Get the girl) (That's how it works) And that's how it works That's how you get the girl, girl (Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh) And that's how it works That's how you get the girl, girl (Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh) [Outro] That's how it works That's how you got the girl"
6,1989 (Deluxe),I Know Places ,"[Intro] [Recorder click] I, I, I, I, I, I, I, I-I I, I, I, I, I, I, I, I-I I, I, I, I, I, I, I, I-I (I, I, I, I) [Verse 1] You stand with your hand on my waistline It's a scene and we're out here in plain sight I can hear them whisper as we pass by It's a bad sign, bad sign Something happens when everybody finds out See the vultures circling, dark clouds Love's a fragile little flame, it could burn out It could burn out [Pre-Chorus 1] 'Cause they got the cages, they got the boxes and guns They are the hunters, we are the foxes and we run [Chorus] Baby, I know places we won't be found And they'll be chasing their tails trying to track us down 'Cause I, I know places we can hide I know places, I know places [Verse 2] Lights flash and we'll run for the fences Let them say what they want, we won't hear it Loose lips sink ships all the damn time Not this time [Pre-Chorus 2] Just grab my hand and don't ever drop it, my love They are the hunters, we are the foxes, and we run [Chorus] Baby, I know places we won't be found And they'll be chasing their tails trying to track us down 'Cause I, I know places we can hide I know places [Bridge] They are the hunters, we are the foxes, and we run Just grab my hand and don't ever drop it, my love [Chorus] Baby, I know places we won't be found And they'll be chasing their tails trying to track us down 'Cause I, I know places we can hide I know places [Outro] They take their shots, but we're bulletproof (I know places) And you know for me, it's always you (I know places) In the dead of night, your eyes so green (I know places) And I know for you, it's always me (I know places) I, I, I, I, I, I, I, I-I I, I, I, I, I, I, I, I-I [recorder click]"
7,1989 (Deluxe),I Wish You Would ,"[Verse 1] It's 2AM in your car Windows down, you pass my street, the memories start You say it's in the past, you drive straight ahead You're thinking that I hate you now 'Cause you still don't know what I never said [Chorus 1] I wish you would come back Wish I never hung up the phone like I did, I Wish you knew that I'd never forget you as long as I live, and I Wish you were right here, right now, it's all good I wish you would [Verse 2] It's 2AM in my room Headlights pass the window pane I think of you We're a crooked love in a straight line down Makes you want to run and hide But it makes you turn right back around [Chorus 2] I wish you would come back Wish I never hung up the phone like I did, I Wish you knew that I'd never forget you as long as I live, and I Wish you were right here, right now, it's all good I wish you would I wish we could go back And remember what we were fighting for, and I Wish you knew that I miss you too much to be mad anymore, and I Wish you were right here, right now, it's all good I wish you would [Post-Chorus] I, I, I, I, I, I wish I, wish I I, I, I, I, I, I wish I, wish I I, I, I, I, I, I wish I, wish I [Bridge] You always knew how to push my buttons You give me everything and nothing This mad, mad love makes you come running To stand back where you stood I wish you would, I wish you would (I wish you would, I wish you would) I wish you would, I wish you would (I wish you would, I wish you would) (I wish I, wish I) [Verse 3] 2AM, here we are See your face, hear my voice in the dark We're a crooked love in a straight line down Makes you wanna run and hide But it made us turn right back around [Chorus 2] I wish you would come back Wish I never hung up the phone like I did, I Wish you knew that I'd never forget you as long as I live, and I Wish you were right here, right now, it's all good I wish you would I wish you would come back Wish I never hung up the phone like I did, I Wish you knew that I'd never forget you as long as I live, and I Wish you were right here, right now, it's all good I wish you would I wish we could go back And remember what we were fighting for, and I Wish you knew that I miss you too much to be mad anymore, and I Wish you were right here, right now, it's all good I wish you would [Outro] (I, I, I, I, I, I wish I, wish I) You always knew how to push my buttons You give me everything and nothing This mad, mad love makes you come running To stand back where you stood I wish you would, I wish you would (I wish you would, I wish you would) I wish you would, I wish you would (I wish you would, I wish you would, I wish you would) (I, I, I, I, I, I wish I, wish I) I, I, I, I, I, I wish I, wish I I, I, I, I, I, I wish I, wish I I wish you would"
8,1989 (Deluxe),New Romantics ,"[Verse 1] We're all bored, we're all so tired of everything We wait for trains that just aren't coming We show off our different scarlet letters Trust me, mine is better We're so young, but we're on the road to ruin We play dumb, but we know exactly what we're doing We cry tears of mascara in the bathroom Honey, life is just a classroom (Ah, ah, ah, ah, ah, ah) [Chorus] 'Cause baby, I could build a castle Out of all the bricks they threw at me And every day is like a battle But every night with us is like a dream Baby, we're the new romantics Come on, come along with me Heartbreak is the national anthem We sing it proudly We are too busy dancing to get knocked off our feet Baby, we're the new romantics The best people in life are free [Verse 2] We're all here, the lights and noise are blinding We hang back, it's all in the timing It's poker You can't see it in my face But I'm about to play my Ace (ahh) We need love, but all we want is danger We team up, then switch sides like a record changer The rumors are terrible and cruel But honey, most of them are true (Ah, ah, ah, ah, ah, ah) [Chorus] 'Cause baby, I could build a castle Out of all the bricks they threw at me And every day is like a battle But every night with us is like a dream Baby, we're the new romantics Come on, come along with me Heartbreak is the national anthem We sing it proudly We are too busy dancing (yeah) to get knocked off our feet Baby, we're the new romantics The best people in life are free [Post-Chorus] (Oh, oh, oh-oh, oh) Oh-oh (Oh, oh, oh-oh, oh) So, come on, come along with me (Oh, oh, oh-oh, oh) The best people in life are free (Oh, oh, oh-oh, oh) [Bridge] Please take my hand and Please take me dancing, and Please leave me stranded It's so romantic (it's so romantic) (Ah, ah, ah, ah, ah, ah) [Breakdown] Oh, 'cause baby, I could build a castle Out of all the bricks they threw at me And every day is like a battle, oh-oh But every night with us is like a dream [Chorus] 'Cause baby, I could build a castle (castle) Out of all the bricks they threw at me And every day is like a battle But every night with us is like a dream Baby, we're the new romantics Come on, come along with me Heartbreak is the national anthem We sing it proudly We are too busy dancing to get knocked off our feet Baby, we're the new romantics The best people in life are free"
9,1989 (Deluxe),Out of the Woods ,"[Verse 1] Looking at it now It all seems so simple We were lying on your couch I remember You took a Polaroid of us Then discovered (Then discovered) The rest of the world was black and white But we were in screaming color And I remember thinking [Chorus] Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods? Are we in the clear yet? Are we in the clear yet? Are we in the clear yet? In the clear yet? Good Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods? Are we in the clear yet? Are we in the clear yet? Are we in the clear yet? In the clear yet? Good (Are we out of the woods?) [Verse 2] Looking at it now Last December (Last December) We were built to fall apart Then fall back together (Back together) Your necklace hanging from my neck The night we couldn't quite forget When we decided, we decided To move the furniture so we could dance Baby, like we stood a chance Two paper airplanes flying, flying, flying And I remember thinking [Chorus] Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods? (Out of the woods) Are we in the clear yet? Are we in the clear yet? Are we in the clear yet? In the clear yet? Good Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods yet? (Oh) Are we out of the woods? Are we in the clear yet? Are we in the clear yet? Are we in the clear yet? In the clear yet? Good (Are we out of the woods?) [Bridge] Remember when you hit the brakes too soon? Twenty stitches in a hospital room When you started crying, baby, I did too But when the sun came up, I was looking at you Remember when we couldn't take the heat? I walked out and said, ""I'm setting you free"" But the monsters turned out to be just trees When the sun came up, you were looking at me You were looking at me, ooh You were looking at me (Are we out of the woods yet? Are we out of the woods yet?) (Are we out of the woods yet? Are we out of the woods?) I remember (Are we in the clear yet? Are we in the clear yet?) (Are we in the clear yet? In the clear yet? Good) Oh, I remember [Chorus] Are we out of the woods yet? Are we out of the woods yet? (Yeah) Are we out of the woods yet? Are we out of the woods? Are we in the clear yet? Are we in the clear yet? (Are we?) Are we in the clear yet? In the clear yet? Good Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods? Are we in the clear yet? (Yeah) Are we in the clear yet? (Yeah) Are we in the clear yet? In the clear yet? Good Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods? Are we in the clear yet? Are we in the clear yet? Are we in the clear yet? In the clear yet? Good Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods? Are we in the clear yet? Are we in the clear yet? Are we in the clear yet? In the clear yet? Good"
