album_name,ep,album_release,track_number,track_name,artist,track_release,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,explicit,key_name,mode_name,key_mode,lyrics
Taylor Swift,False,2006-10-24,1.0,Tim McGraw,Taylor Swift,2006-06-19,0.58,0.491,0.0,-6.462,1.0,0.0251,0.575,0.0,0.121,0.425,76.009,4.0,232107.0,False,C,major,C major,
Taylor Swift,False,2006-10-24,2.0,Picture To Burn,Taylor Swift,2006-10-24,0.658,0.877,7.0,-2.098,1.0,0.0323,0.173,0.0,0.0962,0.821,105.586,4.0,173067.0,False,G,major,G major,
Taylor Swift,False,2006-10-24,3.0,Teardrops On My Guitar,Taylor Swift,2006-10-24,0.621,0.417,10.0,-6.941,1.0,0.0231,0.288,0.0,0.119,0.289,99.953,4.0,203040.0,False,A#,major,A# major,
Taylor Swift,False,2006-10-24,4.0,A Place In This World,Taylor Swift,2006-10-24,0.576,0.777,9.0,-2.881,1.0,0.0324,0.051,0.0,0.32,0.428,115.028,4.0,199200.0,False,A,major,A major,
Taylor Swift,False,2006-10-24,5.0,Cold As You,Taylor Swift,2006-10-24,0.418,0.482,5.0,-5.769,1.0,0.0266,0.217,0.0,0.123,0.261,175.558,4.0,239013.0,False,F,major,F major,
Taylor Swift,False,2006-10-24,6.0,The Outside,Taylor Swift,2006-10-24,0.589,0.805,5.0,-4.055,1.0,0.0293,0.00491,0.0,0.24,0.591,112.982,4.0,207107.0,False,F,major,F major,
Taylor Swift,False,2006-10-24,7.0,Tied Together With A Smile,Taylor Swift,2006-10-24,0.479,0.578,2.0,-4.963,1.0,0.0294,0.525,0.0,0.0841,0.192,146.165,4.0,248107.0,False,D,major,D major,
Taylor Swift,False,2006-10-24,8.0,Stay Beautiful,Taylor Swift,2006-10-24,0.594,0.629,8.0,-4.919,1.0,0.0246,0.0868,0.0,0.137,0.504,131.597,4.0,236053.0,False,G#,major,G# major,
Taylor Swift,False,2006-10-24,9.0,Should've Said No,Taylor Swift,2006-10-24,0.476,0.777,4.0,-3.771,0.0,0.0289,0.0103,0.0,0.196,0.472,167.964,4.0,242200.0,False,E,minor,E minor,
Taylor Swift,False,2006-10-24,10.0,Mary's Song (Oh My My My),Taylor Swift,2006-10-24,0.403,0.627,2.0,-5.28,1.0,0.0292,0.0177,0.0,0.182,0.374,74.9,4.0,213080.0,False,D,major,D major,
Taylor Swift,False,2006-10-24,11.0,Our Song,Taylor Swift,2006-10-24,0.668,0.672,2.0,-4.931,1.0,0.0303,0.111,0.0,0.329,0.539,89.011,4.0,201107.0,False,D,major,D major,
Taylor Swift,False,2006-10-24,12.0,I'm Only Me When I'm With You,Taylor Swift,2008-03-18,0.563,0.934,8.0,-3.629,1.0,0.0646,0.00452,0.000807,0.103,0.518,143.964,4.0,213053.0,False,G#,major,G# major,
Taylor Swift,False,2006-10-24,13.0,Invisible,Taylor Swift,2008-03-18,0.612,0.394,7.0,-5.723,1.0,0.0243,0.637,0.0,0.147,0.233,96.001,4.0,203227.0,False,G,major,G major,
Taylor Swift,False,2006-10-24,14.0,A Perfectly Good Heart,Taylor Swift,2008-03-18,0.483,0.751,4.0,-5.726,1.0,0.0365,0.00349,0.0,0.128,0.268,156.092,4.0,220147.0,False,E,major,E major,
Taylor Swift,False,2006-10-24,15.0,Teardrops On My Guitar (Pop Version),Taylor Swift,2008-03-18,0.459,0.753,10.0,-3.827,1.0,0.0537,0.0402,0.0,0.0863,0.483,199.997,4.0,179067.0,False,A#,major,A# major,
Fearless,False,2008-11-11,1.0,Fearless,Taylor Swift,2008-10-14,0.598,0.714,5.0,-4.397,1.0,0.0273,0.0364,1.04e-06,0.31,0.467,99.979,4.0,242000.0,False,F,major,F major,
Fearless,False,2008-11-11,2.0,Fifteen,Taylor Swift,2008-11-11,0.559,0.636,7.0,-4.4,1.0,0.0263,0.0728,0.0,0.144,0.214,95.485,4.0,294347.0,False,G,major,G major,
Fearless,False,2008-11-11,3.0,Love Story,Taylor Swift,2008-09-12,0.618,0.736,2.0,-3.937,1.0,0.0308,0.157,0.0,0.073,0.307,118.982,4.0,235280.0,False,D,major,D major,
Fearless,False,2008-11-11,4.0,Hey Stephen,Taylor Swift,2008-11-11,0.843,0.553,6.0,-7.348,1.0,0.0317,0.168,2.66e-06,0.107,0.825,115.997,4.0,254320.0,False,F#,major,F# major,
Fearless,False,2008-11-11,5.0,White Horse,Taylor Swift,2008-11-11,0.585,0.346,0.0,-8.014,1.0,0.0256,0.302,0.0,0.102,0.195,92.564,4.0,234440.0,False,C,major,C major,
