track_name,album,era,lyrics,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,key,mode
closure,evermore,Evermore,"It's been a long time
And seeing the shape of your name
Still spells out pain
It wasn't right
The way it all went down
Looks like you know that now
Yes, I got your letter
Yes, I'm doing better
It cut deep to know ya, right to the bone
Yes, I got your letter
Yes, I'm doing better
I know that it's over, I don't need your
Closure, your closure
Don't treat me like
Some situation that needs to be handled
I'm fine with my spite
And my tears and my beers and my candles
I can feel you smoothing me over
Yes, I got your letter
Yes, I'm doing bettеr
It cut deep to know ya, right to the bone
Yes, I got your lеtter
Yes, I'm doing better
I know that it's over, I don't need your
Closure, your closure
Your closure, your closure
I know I'm just a wrinkle in your new life
Staying friends would iron it out so nice
Guilty, guilty, reaching out across the sea
That you put between you and me
But it's fake and it's oh-so unnecessary
Yes, I got your letter
Yes, I'm doing better
It cut deep to know ya, right to the bone
Yes, I got your letter
Yes, I'm doing better
I know that it's over, I don't need your
Closure, closure, your closure
Your closure",0.689,0.704,-10.813,0.245,0.835,4.83e-06,0.134,0.92,151.884,180653.0,9.0,1.0
the 1,folklore,Folklore,"I'm doing good, I'm on some new shit
Been saying ""yes"" instead of ""no""
I thought I saw you at the bus stop, I didn't though
I hit the ground running each night
I hit the Sunday matinée
You know the greatest films of all time were never made
I guess you never know, never know
And if you wanted me, you really should've showed
And if you never bleed, you're never gonna grow
And it's alright now
But we were something, don't you think so?
Roaring twenties, tossing pennies in the pool
And if my wishes came true
It would've been you
In my defense, I have none
For never leaving well enough alone
But it would've been fun
If you would've been the one
(Ooh)
I have this dream you're doing cool shit
Having adventures on your own
You meet some woman on the internet and take her home
We never painted by the numbers, baby
But we were making it count
You know the greatest loves of all time are over now
I guess you never know, never know
And it's another day waking up alone
But we were something, don't you think so?
Roaring twenties, tossing pennies in the pool
And if my wishes came true
It would've been you
In my defense, I have none
For never leaving well enough alone
But it would've been fun
If you would've been the one
I, I, I persist and resist the temptation to ask you
If one thing had been different
Would everything be different today?
We were something, don't you think so?
Rosé flowing with your chosen family
And it would've been sweet
If it could've been me
In my defense, I have none
For digging up the grave another time
But it would've been fun
If you would've been the one
(Ooh)",0.777,0.357,-6.942,0.0522,0.757,7.28e-06,0.108,0.172,139.883,210252.0,0.0,1.0
It's Nice To Have A Friend,Lover,Lover,archer summer lover summer lover archer daylight lover summer lover the the you the love you the the love love you we love you we love we love you we,0.737,0.175,-9.912,0.0401,0.971,0.000337,0.171,0.545,70.008,150440.0,10.0,1.0
Cruel Summer,Lover,Lover,"(Yeah, yeah, yeah, yeah)
Fever dream high in the quiet of the night
You know that I caught it (Oh yeah, you're right, I want it)
Bad, bad boy, shiny toy with a price
You know that I bought it (Oh yeah, you're right, I want it)
Killing me slow, out the window
I'm always waiting for you to be waiting below
Devils roll the dice, angels roll their eyes
What doesn't kill me makes me want you more
And it's new, the shape of your body
It's blue, the feeling I've got
And it's ooh, woah-oh
It's a cruel summer
It's cool, that's what I tell 'em
No rules in breakable heaven
But ooh, woah-oh
It's a cruel summer with you
Hang your head low in the glow of the vending machine
I'm not dying (
Oh yeah, you're right, I want it
)
We say that we'll just screw it up in these trying times
We're not trying (Oh yeah, you're right, I want it)
So cut the headlights, summer's a knife
I'm always waiting for you just to cut to the bone
Devils roll the dice, angels roll their eyes
And if I bleed, you'll be the last to know, oh
It's new, the shape of your body
It's blue, the feeling I've got
And it's ooh, woah-oh
It's a cruel summer
It's cool, that's what I tell 'em
No rules in breakable heaven
But ooh, woah-oh
It's a cruel summer with you
I'm drunk in the back of the car
And I cried like a baby comin' home from the bar (Oh)
Said, ""I'm fine,"" but it wasn't true
I don't wanna keep secrets just to keep you
And I snuck in through the garden gate
Every night that summer just to seal my fate (Oh)
And I scream, ""For whatever it's worth
I love you, ain't that the worst thing you ever heard?""
He looks up, grinnin' like a devil
It's new, the shape of your body
It's blue, the feeling I've got
And it's ooh, woah-oh
It's a cruel summer
It's cool, that's what I tell 'em
No rules in breakable heaven
But ooh, woah-oh
It's a cruel summer with you
I'm drunk in the back of the car
And I cried like a baby comin' home from the bar (Oh)
Said, ""I'm fine,"" but it wasn't true
I don't wanna keep secrets just to keep you
And I snuck in through the garden gate
Every night that summer just to seal my fate (Oh)
And I scream, ""For whatever it's worth
I love you, ain't that the worst thing you ever heard?""
(Yeah, yeah, yeah, yeah)",0.552,0.702,-5.707,0.157,0.117,2.06e-05,0.105,0.564,169.994,178427.0,9.0,1.0
Vigilante Shit,Midnights,Midnights,"Draw the cat eye sharp enough to kill a man
You did some bad things, but I'm the worst of them
Sometimes, I wonder which one'll be your last lie
They say looks can kill and I might try
I don't dress for women
I don't dress for men
Lately, I've been dressin' for revenge
I don't start shit, but I can tell you how it ends
Don't get sad, get even
So on the weekends
I don't dress for friends
Lately, I've been dressin' for revenge
She needed cold, hard proof, so I gave her some
She had the envelope, where you think she got it from?
Now she gets the house, gets the kids, gets the pride
Picture me thick as thieves with your ex-wife
And she looks so pretty
Drivin' in your Benz
Lately, she's been dressin' for revenge
She don't start shit, but she can tell you how it ends
Don't get sad, get even
So on the weekends
She don't dress for friends
Lately, she's been dressin' for revenge
Ladies always rise above
Ladies know what people want
Someone sweet and kind and fun
The lady simply had enough
While he was doin' lines and crossin' all of mine
Someone told his white-collar crimes to the FBI
And I don't dress for villains
Or for innocents
I'm on my vigilante shit again
I don't start shit, but I can tell you how it ends
Don't get sad, get even
So on the weekends
I don't dress for friends
Lately, I've been dressin' for revenge",0.798,0.277,-11.096,0.39,0.173,5.25e-05,0.121,0.163,79.846,164801.0,4.0,0.0
...Ready For It?,reputation,Reputation,"Knew he was a killer first time that I saw him
Wondered how many girls he had loved and left haunted
But if he's a ghost, then I can be a phantom
Holdin' him for ransom, some
Some boys are tryin' too hard, he don't try at all, though
Younger than my exes, but he act like such a man, so
I see nothin' better, I keep him forever
Like a vendetta-ta
I, I, I see how this is gon' go
Touch me and you'll never be alone
I-Island breeze and lights down low
No one has to know
In the middle of the night, in my dreams
You should see the things we do, baby, mmm
In the middle of the night, in my dreams
I know I'm gonna be with you, so I take my time
Are you ready for it?
Knew I was a robber first time that he saw me
Stealin' hearts and runnin' off and never sayin' sorry
But if I'm a thief, then he can join the heist and
We'll move to an island and
And he can be my jailer, Burton to this Taylor
Every love I've known in comparison is a failure
I forget their names now, I'm so very tame now
Never be the same now, now
I, I, I see how this is gon' go (Go)
Touch me and you'll never be alone
I-Island breeze and lights down low (Low)
No one has to know (No one has to know)
In the middle of the night, in my dreams (Yeah)
You should see the things we do (We do), baby, mmm (Mmm)
In the middle of the night (The night) in my dreams (My dreams)
I know I'm gonna be with you, so I take my time
Are you ready for it? Oh
Are you ready for it?
Baby, let the games begin
Let the games begin
Let the games begin, ah-ah
Baby, let the games begin
Let the games begin
Let the games begin
I, I, I see how this is gon' go
Touch me and you'll never be alone
I-Island breeze and lights down low
No one has to know
In the middle of the night (Night), in my dreams (My dreams)
You should see the things we do (We do), baby (Baby), mmm (Yeah)
In the middle of the night, in my dreams (My dreams)
I know I'm gonna be with you, so I take my time (Yeah)
In the middle of the night
Baby, let the games begin
Let the games begin
Let the games begin
Are you ready for it?
Baby, let the games begin
Let the games begin
Let the games begin
Are you ready for it?",0.613,0.764,-6.509,0.136,0.0527,0.0,0.197,0.417,160.015,208187.0,2.0,1.0
Don't Blame Me,reputation,Reputation,look snake snake snake reputation made made made reputation snake we love and love you love you love I you love the love love and you the and the we,0.615,0.534,-6.719,0.0386,0.106,1.76e-05,0.0607,0.193,135.917,236413.0,9.0,0.0
"You're On Your Own, Kid",Midnights,Midnights,"Summer went away, still, the yearning stays
I play it cool with the best of them
I wait patiently, he's gonna notice me
It's okay, we're the best of friends
Anyway
I hear it in your voice, you're smoking with your boys
I touch my phone as if it's your face
I didn't choose this town, I dream of getting out
There's just one who could make me stay
All my days
From sprinkler splashes to fireplace ashes
I waited ages to see you there
I search the party of better bodies
Just to learn that you never cared
You're on your own, kid
You always have been
I see the great escape, so long, Daisy May
I picked the petals, he loves me not
Something different bloomed, writing in my room
I play my songs in the parking lot
I'll run away
From sprinkler splashes to fireplace ashes
I called a taxi to take me there
I search the party of better bodies
Just to learn that my dreams aren't rare
You're on your own, kid
You always have been
From sprinkler splashes to fireplace ashes
I gave my blood, sweat, and tears for this
I hosted parties and starved my body
Like I'd be saved by a perfect kiss
The jokes weren't funny, I took the money
My friends from home don't know what to say
I looked around in a blood-soaked gown
And I saw something they can't take away
'Cause there were pages turned with the bridges burned
Everything you lose is a step you take
So, make the friendship bracelets, take the moment and taste it
You've got no reason to be afraid
You're on your own, kid
Yeah, you can face this
You're on your own, kid
You always have been",0.696,0.396,-10.289,0.0656,0.401,5.2e-06,0.125,0.38,120.041,194207.0,2.0,1.0
long story short,evermore,Evermore,"Fatefully
I tried to pick my battles 'til the battle picked me
Misery
Like the war of words I shouted in my sleep
And you passed right by
I was in the alley, surrounded on all sides
The knife cuts both ways
If the shoe fits, walk in it 'til your high heels break
And I fell from the pedestal
Right down the rabbit hole
Long story short, it was a bad time
Pushed from the precipice
Clung to the nearest lips
Long story short, it was the wrong guy
Now I'm all about you
I'm all about you, ah
Yeah, yeah
I'm all about you, ah
Yeah, yeah
Actually
I always felt I must look better in the rear view
Missing me
At the golden gates they once held the keys to
When I dropped my sword
I threw it in the bushes and knocked on your door
And we live in peace
But if someone comes at us, this time, I'm ready
'Cause I fell from the pedestal
Right down the rabbit hole
Long story short, it was a bad time
Pushed from the precipice
Clung to the nearest lips
Long story short, it was the wrong guy
Now I'm all about you
I'm all about you, ah
Yeah, yeah
I'm all about you
No more keepin' score
Now I just keep you warm (Keep you warm)
No more tug of war
Now I just know there's more (Know there's more)
No more keepin' score
Now I just keep you warm (Keep you warm)
And my waves meet your shore
Ever and evermore
Past me
I wanna tell you not to get lost in these petty things
Your nemeses
Will defeat themselves before you get the chance to swing
And he's passing by
Rare as the glimmer of a comet in the sky
And he feels like home
If the shoe fits, walk in it everywhere you go
And I fell from the pedestal
Right down the rabbit hole
Long story short, it was a bad time
Pushed from the precipice
Climbed right back up the cliff
Long story short, I survived
Now I'm all about you
(And now) I'm all about you, ah
(And now) I'm all about you
(And now) I'm all about you, ah
Yeah, yeah
I'm all about you
(And now) Yeah, yeah
I'm all about you
Long story short, it was a bad time
Long story short, I survived",0.546,0.73,-7.704,0.0417,0.66,0.179,0.0972,0.573,157.895,215920.0,0.0,1.0
Lover,Lover,Lover,"We could leave the Christmas lights up 'til January
And this is our place, we make the rules
And there's a dazzling haze, a mysterious way about you, dear
Have I known you twenty seconds or twenty years?
Can I go where you go?
Can we always be this close?
Forever and ever, ah
Take me out and take me home
You're my, my, my, my lover
We could let our friends crash in the living room
This is our place, we make the call
And I'm highly suspicious that everyone who sees you wants you
I've loved you three summers now, honey, but I want 'em all
Can I go where you go?
Can we always be this close?
Forever and ever, ah
Take me out and take me home (Forever and ever)
You're my, my, my, my lover
Ladies and gentlemen, will you please stand?
With every guitar string scar on my hand
I take this magnetic force of a man to be my lover
My heart's been borrowed and yours has been blue
All's well that ends well to end up with you
Swear to be overdramatic and true to my lover
And you'll save all your dirtiest jokes for me
And at every table, I'll save you a seat, lover
Can I go where you go?
Can we always be this close?
Forever and ever, ah
Take me out and take me home (Forever and ever)
You're my, my, my, my
Oh, you're my, my, my, my
Darling, you're my, my, my, my lover",0.359,0.543,-7.582,0.0919,0.492,1.58e-05,0.118,0.453,68.534,221307.0,7.0,1.0
